timestamp,event
2025-10-03T01:15:33.346693,ATTENDED(close): P02 Completed -> Idle
2025-10-03T01:15:35.525239,ATTENDED(close): P03 Completed -> Idle
2025-10-03T17:06:57.276250,"STARTED: JOB-C5E0BD on P01 by jason (G=100g, spool=995.0g)"
2025-10-03T17:07:10.362552,FAILURE(bad_print): Job JOB-C5E0BD on P01
2025-10-03T17:10:01.900450,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:10:24.472099,"STARTED: JOB-DB55CB on P01 by jason (G=500g, spool=940.0g)"
2025-10-03T17:10:47.248885,FAILURE(bad_print): Job JOB-DB55CB on P01
2025-10-03T17:10:54.827211,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:21:08.961607,"STARTED: JOB-272414 on P02 by jason (G=500g, spool=700.0g)"
2025-10-03T17:21:26.018241,FAILURE(bad_print): Job JOB-272414 on P02
2025-10-03T17:22:40.287001,ATTENDED(close): P02 Failed -> Idle
2025-10-03T17:33:20.300603,"STARTED: JOB-ED1E06 on P01 by  (G=100g, spool=835.0g)"
2025-10-03T17:33:20.750418,FAILURE(bad_print): Job JOB-ED1E06 on P01
2025-10-03T17:33:29.344367,"STARTED: JOB-8D4E4C on P02 by jason (G=500g, spool=620.0g)"
2025-10-03T17:33:36.401801,FAILURE(bad_print): Job JOB-8D4E4C on P02
2025-10-03T17:34:03.671907,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:34:07.029421,ATTENDED(close): P02 Failed -> Idle
2025-10-03T17:34:15.279114,ATTENDED(close): P02 Failed -> Idle
2025-10-03T17:34:30.094395,"STARTED: JOB-1D8A30 on P01 by jason (G=500g, spool=835.0g)"
2025-10-03T17:34:36.184675,FAILURE(bad_print): Job JOB-1D8A30 on P01
2025-10-03T17:34:43.248590,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:34:59.890130,"STARTED: JOB-92D93F on P01 by jason (G=500g, spool=780.0g)"
2025-10-03T17:35:54.770472,COMPLETED: Job JOB-92D93F on P01
2025-10-03T17:36:00.433118,ATTENDED(close): P01 Completed -> Idle
2025-10-03T17:38:27.710336,"STARTED: JOB-961EB7 on P01 by jason (G=2000g, spool=280.0g)"
2025-10-03T17:38:55.992946,FAILURE(bad_print): Job JOB-961EB7 on P01
2025-10-03T17:39:06.763532,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:39:33.558051,"STARTED: JOB-007AA5 on P01 by jason (G=500g, spool=155.0g)"
2025-10-03T17:39:50.332247,FAILURE(out_of_spool): Job JOB-007AA5 on P01
2025-10-03T17:39:59.467714,SPOOL_REPLACED: P01 -> 1000g
2025-10-03T17:39:59.474831,ATTENDED(replace_spool+continue): P01 resume JOB-007AA5
2025-10-03T17:40:21.353477,FAILURE(bad_print): Job JOB-007AA5 on P01
2025-10-03T17:40:30.126716,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:42:39.058071,"STARTED: JOB-B1097D on P02 by jason (G=100g, spool=600.0g)"
2025-10-03T17:42:39.463994,FAILURE(bad_print): Job JOB-B1097D on P02
2025-10-03T17:42:47.913665,ATTENDED(close): P02 Failed -> Idle
2025-10-03T17:42:59.839388,"STARTED: JOB-C6B070 on P02 by jason (G=100g, spool=600.0g)"
2025-10-03T17:43:13.781463,COMPLETED: Job JOB-C6B070 on P02
2025-10-03T17:43:19.647527,ATTENDED(close): P02 Completed -> Idle
2025-10-03T17:45:45.464992,"STARTED: JOB-547AD4 on P01 by jason (G=2000g, spool=755.0g)"
2025-10-03T17:45:45.846385,FAILURE(bad_print): Job JOB-547AD4 on P01
2025-10-03T17:45:52.052589,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:48:21.485704,"STARTED: JOB-8A04B0 on P01 by jason (G=2000g, spool=755.0g)"
2025-10-03T17:48:21.859051,FAILURE(bad_print): Job JOB-8A04B0 on P01
2025-10-03T17:48:34.598689,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:48:47.697085,"STARTED: JOB-24E557 on P01 by jason (G=2000g, spool=755.0g)"
